Name	Set	ImageFile	Number	CardType	Level	PowerKind	VirtueScoreOrSinnieDefense	FellowshipScoreKind	FellowshipScorePoints	ActivationCost	AbilityText	Weakness	Attribute	VerseReference	VerseText	Artist	Script
Conquersaur 1 (FL)	FL	FL_16_Conquersaur.jpg	16	Virtuous	1	Hope	7			HH	ABILITY: When this card is played form your hand into your small group, draw 1 card. This card may not be grown or activated on the same turn in which it is added to your small group.		Safe Slumber	Psalm 4:8		Alex Gil Ble	
Conquersaur 2 (FL)	FL	FL_17_Conquersaur_2.jpg	17	Virtuous	2	Hope	12			HH	ACTION: Search your deck for any four cards and place them on top of your deck in any order.		Unsinkable	Isaiah 43:2a		Alex Gil Ble	
Dependaru 1 (FL)	FL	FL_18_Dependaru.jpg	18	Virtuous	1	Hope	3			H-			Rock Solid	Psalm 18:2a		Dhan Tran Art	
Dependaru 2 (FL)	FL	FL_19_Dependaru_2.jpg	19	Virtuous	2	Hope	6			H			Upright Hand	Isaiah 41:10b		Dhan Tran Art	
Dependaru 3 (FL)	FL	FL_20_Dependaru_3.jpg	20	Virtuous	3	Hope	9			H	ABILITY: Once per turn, as long as this card is in your small group, you may choose to shuffle a card from your hand into your deck. If you do, draw 1 card.		Strong Tower	Proverbs 18:10		Dhan Tran Art	
Tortisuar (FL)	FL	FL_21_Tortisaur.jpg	21	Virtuous	1	Hope	3			H-	ACTION: You may search your deck for any Lv.1 Animo and place it directly into your small group.		Hard Work	Proverbs 16:3		Ward Silverman	
Sowcrow 1 (FL)	FL	FL_22_Sowcrow.jpg	22	Virtuous	1	Hope	4			HU	ABILITY: Once per turn, as long as this card is in your small group, you may shuffle any 1 card from your hand into your deck. If you do, draw 1 card.		Patiently Waiting	James 5:7		Joshua Hale	
Sowcrow 2 (FL)	FL	FL_23_Sowcrow_2.jpg	23	Virtuous	2	Hope	2x			HU	HARVEST (1x): At the time this card is activated, it is worth 2 VP for each card in your hand (up to 16 VP max).		Patient	James 5:8		Joshua Hale	
Hitail (FL)	FL	FL_24_Hitail.jpg	24	Virtuous	1	Hope	9			H-H-	RETREAT (1x): If this card is in your hand, you may choose to reveal it to your opponent(s) and shuffle it back into your deck. If you do, draw 3 cards.		Escape Route	1 Corinthians 10:13b		Ward Silverman	
Percy 1 (FL)	FL	FL_25_Percy.jpg	25	Virtuous	1	Hope	6			HU-			Perseverance	Romans 8:18		Chris Alonso	
Percy 2 (FL)	FL	FL_26_Percy_2.jpg	26	Virtuous	2	Hope	11			HU			Fearless Hope	Romans 8:38-39		Chris Alonso	
Squibble (FL)	FL	FL_27_Squibble.jpg	27	Virtuous	1	Hope	3	S	6	H			Helping Hand	Isaiah 41:13		Lucy_Was_Taken	
Daybeak (FL)	FL	FL_28_Daybeak.jpg	28	Virtuous	1	Hope	6	L	8	HU-	ABILITY: Once per turn, as long as this card is in your small group AND you have no cards in your hand, you may draw 3 cards.		New Mercies	Lamentations 3:23		Christina Todd	
Conquersaur ULTRA (FL)	FL	FL_29_Conquersaur_ULTRA.jpg	29	Virtuous	1	Hope	13			HHH	ABILITY: As long as this card is in your small group, any Hope Shuffle costs on Animo in your small group may instead be treated as normal Hope costs.		Unsinkable	Isaiah 43:2a		Alex Gil Ble	
Dependaru ULTRA (FL)	FL	FL_30_Dependaru_ULTRA.jpg	30	Virtuous	1	Hope	8			H-			Strong Tower	Proverbs 18:10		Dhan Tran Art	
Furball (FL 31)	FL	FL_31_Furball.jpg	31	Virtuous	1	Love	3	H	6	LU			Unfailing Love	Lamentations 3:22		Lucy_Was_Taken	
Furball (FL 32)	FL	FL_32_Furball_v2.jpg	32	Virtuous	1	Love	2	S	5	L			Goodness	Romans 12:21		Ward Silverman	
Agapesaur 1 (FL 33)	FL	FL_33_Agapesaur.jpg	33	Virtuous	1	Love	4			LU			Remaining in Love	1 John 4:16b		Lucy_Was_Taken	
Agapesaur 1 (FL 34)	FL	FL_34_Agapesaur_v2.jpg	34	Virtuous	1	Love	5			LL			Courage	Hebrews 13:6		Dhan Tran Art	
Agapesaur 2 (FL)	FL	FL_35_Agapesaur_2.jpg	35	Virtuous	2	Love	9	H	12	LL	ACTION: No opponent may reveal a Sinnie to you on their next turn		Fearless Love	1 John 4:18a		Dhan Tran Art	
Kelebekah 1 (FL)	FL	FL_36_Kelebekah.jpg	36	Virtuous	1	Love	2			L	ABILITY: When this card is played from your hand into your small group you may draw 1 card.		Comforted	2 Corinthians 1:3 NIV		Alex Gil Ble	
Kelebekah 2 (FL)	FL	FL_37_Kelebekah_2.jpg	37	Virtuous	2	Love	4			L			Comfort-Able	2 Corinthians 1:4 NIV		Alex Gil Ble	
Kelebekah 3 (FL)	FL	FL_38_Kelebekah_3.jpg	38	Virtuous	3	Love	10			L	ABILITY: As long as this card is in your small group, any Animo that you activate against an active Sinnie earns +3 VP.		Abounding Comfort	2 Corinthinas 1:5 NIV		Alex Gil Ble	
Fawndly 1 (FL)	FL	FL_39_Fawndly.jpg	39	Virtuous	1	Love	3			LL	ABILITY: If you are facing an Active Sinnie when this card is played from your hand into your small group, you may draw 3 cards.		Rejoice in the Lord	Habakkuk 3:18		Lucy_Was_Taken	
Ankindleo (FL)	FL	FL_40_Ankindleo.jpg	40	Virtuous	1	Love	2			L	ACTION: You may search your deck for 1 Faith, Hope, or Holy Spirit power and add it to your power pool. Shuffle your deck afterwards.		Delivered	Psalm 34:4		Lucy_Was_Taken	
Tweetheart (FL)	FL	FL_41_Tweetheart.jpg	41	Virtuous	1	Love	5	F	7	LL			Sing for Joy	Psalm 5:11		Lucy_Was_Taken	
Opopony 1 (FL)	FL	FL_42_Opopony.jpg	42	Virtuous	1	Love	5			LL			Boldness	1 John 4:17		Joshua Wegner	
Opopony 2 (FL)	FL	FL_43_Opopony_2.jpg	43	Virtuous	2	Love	10			LL	REPENT (1x): You may choose to add the VP from this card directly to your score instead of applying it toward your active Sinnie (if you are facing one).		Grace	Hebrews 4:16		Jhoan Leon	
Kelebekah ULTRA (FL)	FL	FL_44_Kelebekah_ULTRA.jpg	44	Virtuous	1	Love	5	H	10	L			Comforted	2 Corinthians 1:5 NIV		Alex Gil Ble	
Opopony ULTRA (FL)	FL	FL_45_Opopony_ULTRA.jpg	45	Virtuous	1	Love	10			LU	ABILITY: As long as this card remains in your small group, your win condition for defeating Sinnies is reduced by 1.		Sweet Sacrifice	Ephesians 5:2		Dhan Tran Art	
Agapesaur ULTRA (FL)	FL	FL_46_Agapesaur_ULTRA.jpg	46	Virtuous	1	Love	12			LLU	ABILITY: If this card is in your small group, any time an opponent reveals a Sinnie to you (and after applying its ACTION), you may search your deck for any 1 card. Shuffle your deck afterward.		Love Shield	Psalm 5:12		Inggit Awaliyah	
Toadaken 1 (FL)	FL	FL_47_Toadaken.jpg	47	Virtuous	1	Spirit	2			S			Strengthen	Isaiah 40:29		Chris Alonso	
Toadaken 2 (FL)	FL	FL_48_Toadaken_2.jpg	48	Virtuous	2	Spirit	10	F	13	SUU			Strengthen	Philippians 4:13		Chris Alonso	
Prayeregrine (FL)	FL	FL_49_Prayeregrine.jpg	49	Virtuous	1	Spirit	5			SU	ABILITY: Once per turn, as long as this card is in your small group, you may exchange 1 power card from your power pool with 1 standard power card that you search for in your deck. Shuffle your deck afterward.		Mountain Refuge	Psalm 11:1		Jhoan Leon	
Prayeregrine (FL)	FL	FL_50_prayeregrine_v2.jpg	50	Virtuous	1	Spirit	8			SUU	ACTION: Search your deck for the next growth stage of any Animo in your small group and put that card in your hand. Shuffle your deck afterward.		Fearless Spirit	2 Timothy 1:7		Dhan Tran Art	
Draylight 1 (FL)	FL	FL_51_Draylight.jpg	51	Virtuous	1	Spirit	4			SUU			Foreknown	Psalm 139:16		Christina Todd	
Draylight 2 (FL)	FL	FL_52_Draylight_2.jpg	52	Virtuous	2	Spirit	8			SUU	ABILITY: When this card is played from your hand to grow Draylight Lv.1, you may look at the top 5 cards of your deck, take 1, and put the rest back in any order.		Prosperous Plans	Jeremiah 29:11		Christina Todd	
Draylight 3 (FL)	FL	FL_53_Draylight_3.jpg	53	Virtuous	3	Spirit	12			SUU	ACTION: Choose an Animo in your small group. You may search your deck for up to 2 growth stages for that Animo and instantly grow it into its Lv.2 or Lv.3 growth stage. Shuffle afterward.		Made For Good	Ephesians 2:10		Christina Todd	
Owlert (FL)	FL	FL_54_Owlert.jpg	54	Virtuous	1	Spirit	7			SUU	ABILITY: Once per turn, as long as this card is in your small group, you may look at the top 5 cards of your deck and put them back in any order.		Keeping Watch	1 Thessalonians 5:6		Jhoan Leon	
Phos (FL)	FL	FL_55_Phos.jpg	55	Virtuous	1	Spirit	3	H	5	S			Never Worried	Mark 13:11		Sophia Wegner	
Stryder 1 (FL)	FL	FL_56_Stryder.jpg	56	Virtuous	1	Spirit	3			S	SWAP (1x): If this card is in your small group and your small group is full, you may choose to swap it with a Lv. 1 Animo from your hand. If you do, draw 2 cards.		Water Walker	1 John 4:4		Dhan Tran Art	
Stryder 2 (FL)	FL	FL_57_Stryder_2.jpg	57	Virtuous	2	Spirit	8			S	ACTION: Search your deck for any Lv.1 Faith, Hope, or Love Animo (excluding ULTRA) and place it directly into your small group. Shuffle afterward.		Transformed	Titus 3:5		Inggit Awaliyah	
Aquillion 1 (FL)	FL	FL_58_Aquillion.jpg	58	Virtuous	1	Spirit	5			SU	ABILITY: When this card is played from your hand into your small group, you may choose to draw 2 cards. If you do, you may not grow or activate this card this turn.		Wait on the Lord	Psalm 27:14		Joshua Wegner	
Aquillion 2 (FL)	FL	FL_59_Aquillion_2.jpg	59	Virtuous	2	Spirit	9			SUU			Renewed Strength	Isaiah 40:31a		Alex Gil Ble	
Aquillion 3 (FL)	FL	FL_60_Aquillion_3.jpg	60	Virtuous	3	Spirit	10			S	ACTION: Search your deck for up to three standard power cards and add them to your power pool. Shuffle your deck afterwards.		On Eagles Wings	Isaiah 40:31b		Alex Gil Ble	
Toadaken ULTRA (FL)	FL	FL_61_Toadaken_ULTRA.jpg	61	Virtuous	1	Spirit	10			SU			Strong	Joshua 1:9b		Chris Alonso	
Aquillion ULTRA (FL)	FL	FL_62_Aquillion_ULTRA_S.jpg	62	Virtuous	1	Spirit	10			S	ABILITY: This card takes up two spaces in your small group and may not be ACTIVATED in the same turn in which it is added to your small group.		Mount Up	Isaiah 40:31b		Alex Gil Ble	
Hoofit (FL)	FL	FL_63_Hoofit_U.jpg	63	Virtuous	1	Universal	10			FLU			Upright	1 Timothy 6:11		Dhan Tran Art	
Beshemoth (FL)	FL	FL_64_Beshemoth.jpg	64	Virtuous	1	Universal	5			UU			Contentment	Hebrews 13:5		Hector Montalvo	
Mercifire (FL)	FL	FL_65_Mercifire.jpg	65	Virtuous	1	Universal	10			HLU			Conqueror	Revelation 5:5		Dhan Tran Art	
Fawndly 2 (FL)	FL	FL_66_Fawndly_Lv._2.jpg	66	Virtuous	2	Universal	12			UUU			My Strength	Habakkuk 3:19		Christina Todd	
Bibzy (FL)	FL	FL_67_Bibzy.jpg	67	Virtuous	1	Universal	3			U	ABILITY: When this card is played from your hand into your small group, you may draw 1 card for each Animo in your small group (besides this one).		Encourage	Hebrews 10:25		Ward Silverman	
Ninjiana (FL 68)	FL	FL_68_Ninjiana.jpg	68	Virtuous	1	Universal	6			UU			Fearless	Psalm 34:4		Dhan Tran Art	
Ninjiana (FL 69)	FL	FL_69_Ninjiana_v2.jpg	69	Virtuous	1	Universal	8			SF			Fearless	Romans 8:31		Dhan Tran Art	
Opalus (FL)	FL	FL_70_Opalus.jpg	70	Virtuous	1	Universal	10			SLU			Heavenly Mindset	Colossians 3:1-2		Hector Montalvo	
Positiffany 1 (FL)	FL	FL_71_Positiffany.jpg	71	Virtuous	1	Universal	2			U			Glad	Psalm 118:24 (KJV)		Jhoan Leon	
Positiffany 2 (FL)	FL	FL_72_Positiffany_2.jpg	72	Virtuous	2	Universal	5			U			Positivity	Philippians 4:8		Jhoan Leon	
Positiffany 3 (FL)	FL	FL_73_Positiffany_3.jpg	73	Virtuous	3	Universal	9			U			Bright Future	1 Corinthians 13:12 (NIV)		Jhoan Leon	
Ninjiana ULTRA (FL)	FL	FL_74_Ninjiana_ULTRA.jpg	74	Virtuous	1	Universal	9			UU			Delivered	Psalm 34:4		Dhan Tran Art	
Mercifire ULTRA (FL)	FL	FL_75_Mercifire_ULTRA.jpg	75	Virtuous	1	Universal	10			HL	ABILITY: As long as this card is in your small group, you may remove 1 Universal cost tfrom your other Animo.		Bold	Proverbs 28:1		Dhan Tran Art	
Aquillion ULTRA (FL)	FL	FL_76_Aquillion_ULTRA.jpg	76	Virtuous	1	Universal	10			SH	ABILITY: As long as this card is in your small group, you may remove 1 Universal cost tfrom your other Animo.		Take Courage	Psalm 31:24		Dhan Tran Art	
Fearcrow (FL 77)	FL	FL_77_Fearcrow.jpg	77	Sinnie			10				ACTION: Your opponent may not play any Love Animo or Love powers from their hand on their next turn.	Ninjiana	Fearful Heart	Isaiah 35:4a		Alex Gil Ble	
Fearcrow (FL 78)	FL	FL_78_Fearcrow.jpg	78	Sinnie			5+				ABILITY: Add +3 to the defense of this Sinnie for each Sinnie your opponent has already defeated.	Toadaken ULTRA	Fear	Psalm 116:3-4		Alex Gil Ble	
Tollkrow (FL 79)	FL	FL_79_Tollkrow.jpg	79	Sinnie			12				ABILITY: As long as this card is active, your opponent may not use any SPECIAL power cards from their power pool to activate Animo.	Trusty Lv.2	In The Valley	Psalm 23:4		Alex Gil Ble	
Lurukai (FL)	FL	FL_80_Lurakai.jpg	80	Sinnie			8				ABILITY: During your setup phase, this Sinnie may be played (REVEALED to an opponent) directly from your discard pile as if it were in your hand.	Armorino Lv.3	Ambush	Psalm 27:3a		Alex Gil Ble	
Refrigergator (FL)	FL	FL_81_Refrigigator.jpg	81	Sinnie			12				ACTION: Your opponent may not use any Love powers from their power pool or Truth Seeker on their next turn (including Love from Prayer).	Agapesaur	Icy Heart	Matthew 24:12		Dhan Tran Art	
Dismayfly (FL)	FL	FL_82_Dismayfly.jpg	82	Sinnie			10				ABILITY: As long as this Sinnie remains active, your opponent may not discard any cards from their hand.	Positiffany	Dismayed	Isaiah 41:10a		Alex Gil Ble	
Brandish (FL)	FL	FL_83_Brandish.jpg	83	Sinnie			11				ABILITY: As long as this card is active, each time your opponent adds a power card from their hand into their power pool, they must discard the top card of their deck.	Stagnetic	Armed and Dangerous	Isaiah 54:17a		Dhan Tran Art	
Gullabuoy (FL)	FL	FL_84_Gullabuoy.jpg	84	Sinnie			8				ACTION: Flip a token. If heads, your opponent may not play any cards from their hand on their next turn.  If tails, this action has no effect.	Opalus	Gullible	Ephesians 4:14 NIV		Alex Gil Ble	
Skortch (FL)	FL	FL_85_Skortch.jpg	85	Sinnie			10				ACTION: Your opponent may not use any Hope powers from their power pool or Truth Seeker on their next turn (including Hope from Prayer).	Dependaru	Spark	James 3:5		Alex Gil Ble	
Venomouth (FL)	FL	FL_86_Venomouth.jpg	86	Sinnie			10				ABILITY: As long as this card is active, your opponent's Animo may not be ACTIVATED in the same turn that they are added to (or grown in) their small group.	Opopony	Untamed Tongue	James 3:8		Alex Gil Ble	
Cellfish (FL)	FL	FL_87_Cellfish.jpg	87	Sinnie			8				ABILITY: As long as this Sinnie is active, the fellowship bonuses of your opponent's Animo may not be enabled.	Draylight Lv.2	Selfishness	James 4:3		Lucy_Was_Taken	
Baddapole (FL)	FL	FL_88_Baddapole.jpg	88	Sinnie			11				ABILITY: As long as this Sinnie is active, your opponent must discard the top 2 cards of their deck in order to use their Truth Seeker's ability.	Stagnetic	Tempted	1 Corinthians 10:13		Lucy_Was_Taken	
Krass-Hopper (FL)	FL	FL_89_Krass-Hopper.jpg	89	Sinnie			10				ABILITY: As long as this Sinnie remains active, your opponent must decrease their score by 2 points at the beginning of their turn (but not below 0).	Hoofit	Wicked	Isaiah 13:11 KJV		Ward Silverman	
Conformeon (FL)	FL	FL_90_Conformeleon.jpg	90	Sinnie			6+				ABILITY: Add +2 to the defense of this Sinnie for each Sinnie your opponent has already defeated.	Stryder	Conforming	Romans 12:2		Christina Todd	
Squatch (FL)	FL	FL_91_Squatchie.jpg	91	Sinnie			11				ACTION: Your opponent reveals the top 5 cards of their deck. Choose 1 card and have them discard it. Your opponent may then return the remaining cards to the top of their deck in any order they like.	Tortisaur	Folly	Ecclesiastes 10:1 (NIV)		Sophia Wegner	
Tollkrow (FL 92)	FL	FL_92_Tollkrow.jpg	92	Sinnie			11				ACTION: If your opponent has more power cards in their power pool than you have in yours, choose any 1 power card from their power pool and discard it.	Prayeregrine	Dark Powers	Ephesians 6:12		Jhoan Leon	
Venomouth MEGA (FL)	FL	FL_93_Venomouth_MEGA.jpg	93	Sinnie			13				ACTION: Your opponent may not ACTIVATE any Lv. 1 Animo on their next turn.	Furball	Poison Tongue	James 3:8		Alex Gil Ble	
Lurukai MEGA (FL)	FL	FL_94_Lurikai_MEGA.jpg	94	Sinnie			14				ACTION: Select 1 Animo from your opponent's small group and flip it over. As long as this Sinnie is active, that Animo may not be interactedd with in any way.	Armorino ULTRA	Dark Aim	Psalm 11:2		Alex Gil Ble	
Tollkrow MEGA (FL)	FL	FL_95_Tollkrow_MEGA.jpg	95	Sinnie			16					Percy Lv.2	Shadow of Death	Psalm 23:4		Alex Gil Ble	
Tollkrow MEGA Plus (FL)	FL	FL_96_Tollkrow_MEGA_Plus.jpg	96	Sinnie			21					Stagnetic ULTRA	Spiritual Warfare	Ephesians 6:12		Dhan Tran Art	
Fearcrow MEGA (FL)	FL	FL_97_Fearcrow_MEGA.jpg	97	Sinnie			13				ACTION: Your opponent may not play, grow, equip, or activate any Love Animo on their next turn.	Agapesaur Lv.2	Fearful	1 John 4:18b		Alex Gil Ble	
Fearcrow MEGA Plus (FL)	FL	FL_98_Fearcrow_MEGA_Plus.jpg	98	Sinnie			18				ACTION: Your opponent may not play any cards from their hand on their next turn.	Ninjiana	Paralyzing Fear	Psalm 116:3-4		Alex Gil Ble	
Into The Fire (FL)	FL	FL_99_Into_The_Fire.jpg	99	Story							You may swap up to 3 power cards from your power pool with standard power cards (of the same number) that you find in your deck. Shuffle your deck afterward.			Daniel 3		Victoria Skakandi	
Paused Maws (FL)	FL	FL_100_Paused_Maws.jpg	100	Story							Place this card in your Active Sinnie spot (or next to it if it is currently occupied by another card.) No opponent may reveal a Sinnie to you on their next turn. At the beginning of your next turn, remove this card (as well as any other copies of 'Paused Maws' in your hand, deck, or discard pile) from the game.			Daniel 6		Victoria Skakandi	
Giant Killer (FL)	FL	FL_101_Giant_Killer.jpg	101	Story							Choose 1 of the following: 1) Search your deck for a MEGA Sinnie and reveal it to an opponent. (This can oly be done if the opponent is not already facing a Sinnie). -OR- 2) If you are facing a MEGA Sinnie, return it to it's owner and have them shuffle it back into their deck.			1 Samuel 17		Victoria Skakandi	
For Such a Time (FL)	FL	FL_102_For_Such_A_Time.jpg	102	Story							Reveal any number of Sinnies from your hand to your opponent(s) and shuffle them back into your deck. You may then draw 2 cards for each Sinnie shuffled back into your deck in this manner.			Esther		Victoria Skakandi	
David's Sling (FL)	FL	FL_103_David_s_Sling.jpg	103	Equipment							When attached to a Hope, Love or Holy Spirit Animo, this card turns any fellowship bonus into a Faith fellowship bonus. This card has no effect on an Animo that does not already have a fellowship bonus.			1 Samuel 17:50		Filipe Vasquez	
Kings Scepter (FL)	FL	FL_104_King_s_Scepter.jpg	104	Equipment							When attached to a Faith, Love or Holy Spirit Animo, this card turns any fellowship bonus into a Hope fellowship bonus. This card has no effect on an Animo that does not already have a fellowship bonus.			Esther 5:1		Filipe Vasquez	
Floatation Device (FL)	FL	FL_105_Floatation_Devise.jpg	105	Equipment							This card may only be attached to a Love Animo. Upon activating the Animo to whom this card is attached, you may choose to bypass the ACTIVE SINNIE and add that Animo's VP directly to your score.			Exodus 2:1-10		Filipe Vasquez	
Scarlet Rope (FL)	FL	FL_106_Scarlet_Cord.jpg	106	Equipment							The Animo to whom this card is attached may either be returned to your hand OR discarded from your small group at any time during your setup phase. If you choose to discard it, you may search your deck for any Animo with an equal or lesser VP and place it in your hand. This card must be discarded once the action is used.			Joshua 2:1-24		Filipe Vasquez	
Goliath's Sword (FL)	FL	FL_107_Goliaths_Sword.jpg	107	Hinderance							As long as this card is attached to your opponent's MEGA Sinnie, they must discard the top two cards of their deck every time they play an Animo from their hand into their small group (and before applying abilities of those Animo). When the Sinnie to whom this card is attached is defeated, your opponent may shuffle any 1 card from their discard pile back into their deck.			1 Samuel 17:41-54		Filipe Vasquez	
Faith (FL)	FL	FL_108_Faith_Power.jpg	108			Faith								Hebrews 11:1			/cr90
Hope (FL)	FL	FL_109_Hope_Power.jpg	109			Hope								Proverbs 23:18			/cr90
Love (FL)	FL	FL_110_Love_Power.jpg	110			Love								Psalm 86:15			/cr90
Holy Spirit (FL)	FL	FL_111_Holy_Spirit_Power.jpg	111			Spirit								1 Corinthians 3:16			/cr90
Prayer (FL)	FL	FL_112_Prayer.jpg	112								Provides 1 Faith, Hope, or Love power per turn.			Philippians 4:6			/cr90
Fasting (FL)	FL	FL_113_Fasting.jpg	113								Provides 1 Holy Spirit or 2 Universal powers to one Animo per turn.			Joel 2:12			/cr90
Faith Alternate Art (FL)	FL	FL_114_Faith_Alt.jpg	114			Faith								Hebrews 11:1			/cr90
Hope Alternate Art (FL)	FL	FL_115_Hope_Alt.jpg	115			Hope								Proverbs 23:18			/cr90
Love Alternate Art (FL)	FL	FL_116_Love_Alt.jpg	116			Love								Psalm 86:15			/cr90
Holy Spirit Alternate Art (FL)	FL	FL_117_Holy_Spirit_Alt.jpg	117			Spirit								1 Corinthians 3:16			/cr90
Prayer Group (FL)	FL	FL_118_Prayer_Group.jpg	118			Universal					ABILITY: You may activate this card using up to 6 of any power. When activated, this card is worth 3 VP for each power that is used to activate it.		Gathered Together	Matthew 18:20		Alex Gil Ble	
Trusty 2 Alternate Art (FL)	FL	FL_S01_Trusty_Full_Art.jpg	S01		2	Faith	8	S	12	FFx	ABILITY: You may choose to discard this card from your small group (including previous growth stages and any attached cards). If you do, draw four cards.		Fireproof	Isaiah 43:2b		Dhan Tran Art	
Stagnetic Alternate Art (FL)	FL	FL_S02_Stagnetic_Full_Art.jpg	S02		1	Faith	8			FxFx	ENDURANCE (1x): Instantly earn 5 VP if you have 20 or fewer cards in your deck and an additional 5 VP if you have 10 or fewer cards in your deck.		Endure	Matthew 24:13		Alex Gil Ble	
Sowcrow 1 Alternate Art (FL)	FL	FL_S03_Sowcrow_Full_Art.jpg	S03		1	Hope	4			HU	ABILITY: Once per turn, as long as this card is in your small group, you may shuffle any 1 card from your hand into your deck. If you do, draw 1 card.		Patiently Waiting	James 5:7		Joshua Hale	
Percy 2 Alternate Art (FL)	FL	FL_S04_Percy_2_Full_Art.jpg	S04		2	Hope	11			HU			Fearless Hope	Romans 8:38-39		Chris Alonso	
Agepesaur 2 Alternate Art (FL)	FL	FL_S05_Agapesaur_2_Full_Art.jpg	S05		2	Love	9	H	12	LL	ACTION: No opponent may reveal a Sinnie to you on their next turn		Fearless Love	1 John 4:18a		Dhan Tran Art	
Kelebekah 1 Alternate Art (FL)	FL	FL_S06_Kelebekah_Full_Art.jpg	S06		1	Love											
Toadaken 1 Alternate Art (FL)	FL	FL_S07_Toadaken_Full_Art.jpg	S07		1	Spirit											
Stryder 1 Alternate Art (FL)	FL	FL_S08_Stryder_Full_Art.jpg	S08		1	Spirit	3			S	SWAP (1x): If this card is in your small group and your small group is full, you may choose to swap it with a Lv. 1 Animo from your hand. If you do, draw 2 cards.		Water Walker	1 John 4:4		Dhan Tran Art	
Hoofit Alternate Art (FL)	FL	FL_S09_Hoofit_Full_Art.jpg	S09		1	Universal	10			FLU			Upright	1 Timothy 6:11		Dhan Tran Art	
Ninjiana Alternate Art (FL)	FL	FL_S10_Ninjiana_v2_Full_Art.jpg	S10		1	Universal	8			SF			Fearless	Romans 8:31		Dhan Tran Art	
Refrigergator Alternate Art (FL)	FL	FL_S11_Refrigigator_Full_Art.jpg	S11				12				ACTION: Your opponent may not use any Love powers from their power pool or Truth Seeker on their next turn (including Love from Prayer).	Agapesaur	Icy Heart	Matthew 24:12		Dhan Tran Art	
Krass-Hopper Alternate Art (FL)	FL	FL_S12_Krass_Hopper_Full_Art.jpg	S12				10				ABILITY: As long as this Sinnie remains active, your opponent must decrease their score by 2 points at the beginning of their turn (but not below 0).	Hoofit	Wicked	Isaiah 13:11 KJV		Ward Silverman	
